session_id,total_pnl,HYDROGEL_PACK_pnl,VELVETFRUIT_EXTRACT_pnl,VEV_4000_pnl,VEV_4500_pnl,VEV_5000_pnl,HYDROGEL_PACK_position,VELVETFRUIT_EXTRACT_position,VEV_4000_position,VEV_4500_position,VEV_5000_position,HYDROGEL_PACK_cash,VELVETFRUIT_EXTRACT_cash,VEV_4000_cash,VEV_4500_cash,VEV_5000_cash,total_slope_per_step,total_r2,HYDROGEL_PACK_slope_per_step,HYDROGEL_PACK_r2,VELVETFRUIT_EXTRACT_slope_per_step,VELVETFRUIT_EXTRACT_r2,VEV_4000_slope_per_step,VEV_4000_r2,VEV_4500_slope_per_step,VEV_4500_r2,VEV_5000_slope_per_step,VEV_5000_r2
0,228.76533109153297,-6570.559534398606,5189.921139088896,362.0092821433682,1133.0044865387977,114.38995771907707,-125,-23,25,2,-1,1289591,126711,-29848,-468,467,1.4318087340277625,0.7715068751480548,0.8105769316029969,0.5715375735893253,0.5369434410758411,0.9517853382409928,-0.03697686320600847,0.041252952119578176,0.10925445165805255,0.9804378478616149,0.012010772896876323,0.20137725755170705
1,7666.396835151758,5084.2730575108435,2611.2569757875463,920.7694565072029,863.5600330949901,-1813.4626877488245,-128,10,-2,11,19,1305260,-48314,3545,-6337,-4773,0.9154903170794537,0.6477587462434421,0.7160024690175366,0.5427657405385742,0.16394327394430014,0.7657688465552092,0.09811353597405044,0.563837668901934,0.09586467925159495,0.8350609632840392,-0.15843364110802954,0.5463567418501212
2,-4689.20527667751,-13157.686498669442,4971.2472657936005,2911.5027110511583,1042.3154628654265,-456.58421771825215,-142,-1,48,15,-6,1428424,10199,-59795,-10127,894,-0.7092124104101487,0.18435619318389826,-1.4576504982089666,0.5025759447184006,0.4218934516989048,0.9635237528970446,0.32944815296690055,0.8311470914729615,0.06104300814769585,0.21564657261937054,-0.06394652501467481,0.29441974974549767
3,22532.09097403349,15408.57389795399,4470.872480700673,1124.150993159994,1301.7954129994105,226.6981892194217,-3,9,12,15,7,45719,-42719,-12917,-9575,-1915,2.400366185025609,0.8500803121368046,1.6212159944770965,0.7380393691551471,0.5430640850167499,0.882069295374134,0.12451539549659706,0.8127201925407218,0.12705192226514214,0.9053529532776817,-0.01548121222996884,0.13068685851893078
4,14362.516438739334,5734.094065810321,5898.000234437775,2420.42908167532,270.69735366396617,39.29570315195184,47,-2,-27,-5,1,-456599,16358,34342,4733,-159,1.585400338269048,0.8880020722719795,0.6488547743462282,0.5202591229669733,0.5539624743468314,0.9670913983765594,0.33716718676879404,0.7952363499671674,0.036580731313695464,0.6236785759756778,0.00883517149345873,0.19002379355579846
5,20239.0838972026,13478.202096272435,5591.08350936693,285.0478116191043,914.6130009504413,-29.862521006309862,39,-39,18,-12,8,-372695,215141,-20379,10709,-2060,2.018324339250609,0.9102839042245594,1.4675689257951912,0.878049417925314,0.43307970919764427,0.7936059290798084,0.026231737915863643,0.05832382010417568,0.0936786243270094,0.7808174143120618,-0.002234657985072986,0.0027388968262112307
6,11985.859250876669,5041.02687655366,3210.418818837614,2332,947.5713412716323,454.8422142137622,-131,-21,0,11,-2,1330965,117036,2332,-7391,989,1.1742950607016263,0.7910805693119,0.43017968311545324,0.35252865131477623,0.35398081488947025,0.9212588503445776,0.22683907413325657,0.9165767781041088,0.0925248797615522,0.8420399921075489,0.07077060880189472,0.45967802105743527
7,22214.305657012257,12712.437052369685,5465.506015049612,2605.3927457295395,606.4165002113464,824.5533436520764,8,2,-8,-5,8,-66259,-5132,11409,4217,-1881,2.508123680710923,0.9850420079011547,1.5137470412581886,0.9726680915642092,0.5549242195784814,0.9561316807026168,0.3067323891074832,0.9244356855543828,0.0413379365086369,0.2637593955596828,0.09138209425812827,0.746227743840029
8,2782.714213482433,-3467.050718638464,3750.5949013405825,1816.4679235973108,580.1808484394387,102.52125874356483,105,-1,-10,-2,-1,-1025092,9184,14563,2205,416,-0.1088968593387778,0.0054630430632333265,-0.7651127635034415,0.21189323134559376,0.40424665532762283,0.9416044724488805,0.20264686543944316,0.9511073208168989,0.06064766949368336,0.9800940861382729,-0.011325286096067293,0.06618752086183405
9,12094.729909676815,4664.091131382855,4288.117320942105,1093.3325724306633,1595.9517150482698,453.23716987292187,78,1,33,-19,-5,-765620,-968,-39841,15951,1027,2.1045977840189196,0.7738585944062948,1.098323405819991,0.525739237427691,0.5362915380147754,0.9514401020594974,0.19781803283718935,0.7786974618166022,0.21085263303096588,0.7579296002328865,0.06131217431601559,0.9022594305499894
10,-3222.0738528909424,-14989.248619459337,7965.178891838994,2571.549430141333,1149.7814166784774,80.66502790959089,161,28,-4,-15,4,-1563676,-138660,6793,12989,-1020,-1.01986861312745,0.44502841155939765,-2.1346195106999883,0.7360751217451719,0.6532769701232598,0.9483735148145825,0.29224626712808105,0.8977492079903133,0.1555336600676057,0.7461089039464947,0.013694000253606967,0.3870325373060263
11,12135.186839573224,1049.37825614959,8807.254702464103,1369.7833077407813,1013.394105210451,-104.6235319917023,95,-9,13,-11,10,-936480,55812,-15145,8478,-2192,2.1914948816766833,0.8922985081429693,0.9869738675440377,0.5917116697286128,0.9716978212496764,0.9413909367897929,0.10730988994273502,0.6967527166579675,0.09979893837460456,0.8013069437952677,0.025714364565638585,0.12763383783203305
