session_id,day,total_pnl,HYDROGEL_PACK_pnl,VELVETFRUIT_EXTRACT_pnl,VEV_4000_pnl,VEV_4500_pnl,total_slope_per_step,total_r2,HYDROGEL_PACK_slope_per_step,HYDROGEL_PACK_r2,VELVETFRUIT_EXTRACT_slope_per_step,VELVETFRUIT_EXTRACT_r2,VEV_4000_slope_per_step,VEV_4000_r2,VEV_4500_slope_per_step,VEV_4500_r2
0,-2,5635.254021198581,-473.48181198048405,4864.446306954589,686.8007425714695,557.4887836530061,1.125589332728453,0.8915166899578106,0.4506782748873062,0.6968754644705282,0.6443366687105972,0.881749214346132,0.0039554746801511885,0.0006061618292232061,0.026618914450392345,0.22416909246808867
1,-1,10818.947314232744,6989.948801716731,1819.1938346263778,1161.7320107896157,848.0726671000193,1.4374826592747296,0.8567464870266567,0.8292103042581805,0.8666891630695327,0.39322954517641817,0.39800455608374774,0.1203879341513921,0.8310058318136603,0.09465487568873371,0.7505454223614911
2,-2,9914.528883907074,3551.537644675409,6375.7527342063995,-980.793248113172,968.031753138439,0.9891611529021476,0.7873174851085253,0.34194742770082126,0.3594356509096771,0.7155507531077897,0.9256232926507636,-0.2057896371405074,0.34251952376630856,0.13745260923403438,0.5209004699279793
3,-1,17704.48362559648,9087.933449019416,6767.2132647135,1430.0550770633272,419.28183480023563,1.7209305764813647,0.9353665538268383,0.8493603437126914,0.7029562064589964,0.6593964678237145,0.7579927435491142,0.18632894798904082,0.8811890894190214,0.025844816955924728,0.11402579949446556
4,-2,19302.977451765157,9778.52895966696,7773.994373493391,1319.7567649408356,430.69735366396617,2.2522493908650425,0.8978823518539417,1.2370120917425038,0.8123665477919434,0.8037417483535524,0.8053638960752643,0.1637479286393206,0.7721787808411785,0.047747622129658884,0.6525600848723312
5,-1,11160.115477535,4228.583486622549,4719.532200233574,1422.0106248042457,789.989165874631,1.3477982263126314,0.9096163994023296,0.5235342667634618,0.7984356663984883,0.6187175811437752,0.6826699142012257,0.13056881382763658,0.7362053056664541,0.07497756457773706,0.7515129492391934
6,-2,-580.0128481278757,-2114.610729523003,-700.9596739193948,1402.3497948521108,833.2077604624114,-0.3965353035255976,0.16069669589910332,-0.35709796289383633,0.2144386948434888,-0.26024999105390423,0.2999086302761611,0.14736547866681274,0.9260436980759749,0.07344717175535057,0.7859997633750095
7,-1,7508.0403739782505,-2797.747950740275,8343.042480788368,872.6291439724264,1090.1166999577308,0.742854506191394,0.6709199917847268,-0.37325366725993875,0.4058643605411751,0.9129578277387359,0.9174867470996744,0.10619069941941539,0.6229898826745784,0.09695964629319513,0.8965125752900465
8,-2,2818.1071119642875,983,1220.1388160869901,1141.798114604033,-526.8298187267355,0.04234943821590193,0.010375709494441212,-0.09570703427590188,0.1316103291237185,0.00510336724916756,0.0003268823762058843,0.1261939060583097,0.8028891545954749,0.0067591991843276664,0.006997739088187535
9,-1,14477.292717603417,7285.066407917358,4674.67021311057,1509.7775241435556,1007.7785724319328,1.5835416267360165,0.9154063737990904,0.743932478766442,0.9794341317429183,0.4895938320682006,0.705206568175295,0.19889433691838077,0.8576102259218927,0.15112097898301166,0.5258428133322943
10,-2,6069.925367061119,-5670.278920020093,7921.087146650127,3085.6482904239983,733.468850007087,0.15106171521925635,0.10103108105446139,-0.9230982352141537,0.6591552554028018,0.6361050161873761,0.8951408351406273,0.3320080563320435,0.9149180842297233,0.10604687791399865,0.5411113028363791
11,-1,21190.174142336786,5693.302974331542,12595.964470271254,1638.3115207436185,1262.5951769903686,2.310908832003879,0.9604898824162433,0.6185014102410203,0.7009430288219057,1.4277271764255672,0.9586124853639955,0.14550430694198657,0.836260146670401,0.11917593839533373,0.8836324056346718
12,-2,-7901.507857662936,-15426.127956555574,4994.2900793683075,1951.257228146389,579.0727913779419,-1.1073009427271991,0.6529359007578326,-1.836057576005101,0.789182629989827,0.5335123086694038,0.5264481179233375,0.18141831843312023,0.9347629154889314,0.01382600617537905,0.05497463416044987
13,-1,6764.039221365027,9919.5656973117,-4101.011133569002,-78.91016192970164,1024.3948195520297,0.668147515883748,0.8526224820376207,1.0380862934150394,0.9516692920701847,-0.48420981715316075,0.5987949284877572,0.00457943749118015,0.005750863331547162,0.10969160213066549,0.7408091700956605
14,-2,7634.781831322413,3793.1404150154267,4212.2941375459195,-1312.0308964085416,941.3781751696088,0.6066452224384288,0.33182292508427985,0.26105398849418776,0.20640630320311848,0.4700893059395603,0.46935203270141373,-0.22953847126816673,0.49474513619629706,0.10504039927285092,0.9534272992974102
15,-1,16984.264477218996,6041.285261970013,7377.058954930282,2482.188781235691,1083.7314790830096,1.8305866393099819,0.9298368085220057,0.7430617497790365,0.818535409526161,0.7235311339690517,0.8426840138797388,0.2771161029531871,0.9291377730279549,0.08687765260871273,0.5819587768052774
16,-2,2912.221486792644,-1633.7838900070128,3032.5311068628507,1194.4363122036193,319.0379577331869,0.27227026118700076,0.390087693867173,-0.32446645536907576,0.5613711096806465,0.4643231132953193,0.7450446621438813,0.10728107219448045,0.8570994768024345,0.025132531066279287,0.2464571270402692
17,-1,15519.618501287616,5232.726871447405,5074.085783139686,2907.236325218746,2305.5695214817797,1.6680757096786434,0.8340473649877373,0.618989401823775,0.46307843874768023,0.5046637989495469,0.8678887160709228,0.2903416075349988,0.8501766934314736,0.25408090137031286,0.958259093363651
18,-2,8885.488515741716,3062.2848506032515,5396.751166554954,492.0082201109242,-65.55572152741297,0.5167782242724509,0.6687622525415091,0.22043692785499788,0.8015369790363791,0.2603519760162249,0.37558450794503717,0.06892088243304506,0.7201042992457037,-0.03293156203182005,0.43857774401686395
