session_id,day,total_pnl,HYDROGEL_PACK_pnl,VELVETFRUIT_EXTRACT_pnl,VEV_4000_pnl,VEV_4500_pnl,VEV_5000_pnl,total_slope_per_step,total_r2,HYDROGEL_PACK_slope_per_step,HYDROGEL_PACK_r2,VELVETFRUIT_EXTRACT_slope_per_step,VELVETFRUIT_EXTRACT_r2,VEV_4000_slope_per_step,VEV_4000_r2,VEV_4500_slope_per_step,VEV_4500_r2,VEV_5000_slope_per_step,VEV_5000_r2
0,-2,26517.50897398477,15499.359240806021,9417.345635491773,353.40965342910204,1133.0044865387977,114.38995771907707,2.3345754136666357,0.9508423372490201,1.206693828548998,0.9122156703978419,1.044842370126145,0.9311914589442616,-0.03822600956344809,0.04407820970454093,0.10925445165805255,0.9804378478616149,0.012010772896876323,0.20137725755170705
1,-1,17151.352341004676,10315.308868884109,-4358.841403384635,920.7694565072029,863.5600330949901,9410.555385903008,1.7214849744588199,0.65985741194675,1.0424866273112856,0.7503767991228965,-0.3803773099698608,0.5746639426499548,0.09811353597405044,0.563837668901934,0.09586467925159495,0.8350609632840392,0.8653974418917479,0.6421421966780209
2,-2,-2204.118309378383,-9260.120217803866,3558.76795222715,2911.5027110511583,1042.3154628654265,-456.58421771825215,-0.9603631345141257,0.5078854688252405,-1.1781461508394415,0.6060093768266815,-0.1087616197746151,0.045425237809003635,0.32944815296690055,0.8311470914729615,0.06104300814769585,0.21564657261937054,-0.06394652501467481,0.29441974974549767
3,-1,13837.411421430981,6343.541918329254,17350.445951273665,1124.150993159994,1301.7954129994105,-12282.522854331342,2.250509034092107,0.41157073663768395,0.7715246647319425,0.573754249636615,2.202299620359928,0.6477250317896045,0.12451539549659706,0.8127201925407218,0.12705192226514214,0.9053529532776817,-0.9748825687615064,0.293482608967214
4,-2,25940.30593923617,12571.52895966696,11019.989215862355,2420.42908167532,270.69735366396617,-342.3386716324335,2.4278455167261694,0.9491299865269824,1.4921065678895729,0.9077713130955455,0.5784359342904063,0.4435869232991966,0.33716718676879404,0.7952363499671674,0.036580731313695464,0.6236785759756778,-0.0164449035363031,0.06677180184017537
5,-1,13855.684884592041,9015.892791447477,2606.1844738455256,285.0478116191043,914.6130009504413,1033.946806729493,1.1275055781627021,0.5121781199078977,1.0352493801509637,0.8739984744170435,-0.12813203726077438,0.014576844225115248,0.026231737915863643,0.05832382010417568,0.0936786243270094,0.7808174143120618,0.1004778730296374,0.39464849482317205
6,-2,3981.5455235582103,7319.067103473935,-6985.410562821315,2332,947.5713412716323,368.31764163395746,0.6747116205923408,0.38833459586823177,0.9191943843927842,0.6633734167082338,-0.8002091153329192,0.8127859376313522,0.22683907413325657,0.9165767781041088,0.0925248797615522,0.8420399921075489,0.23636239763768271,0.28588320963927705
7,-1,25541.411536366857,8968.948054235661,4902.596616234921,2605.3927457295395,606.4165002113464,8458.057619955387,3.0678717128827135,0.9162929922445553,1.016094869105856,0.9645633349117422,0.6607206482816966,0.6785164597356478,0.3067323891074832,0.9244356855543828,0.0413379365086369,0.2637593955596828,1.042985869879102,0.6616277978167189
8,-2,1185.0103441465794,3241.7411342718988,-4555.900820905634,1816.4679235973108,580.1808484394387,102.52125874356483,0.19599210769528388,0.1607551458571179,0.2210327399188689,0.15595338470135217,-0.2770098810606292,0.2059414405344408,0.20264686543944316,0.9511073208168989,0.06064766949368336,0.9800940861382729,-0.011325286096067293,0.06618752086183405
9,-1,17159.83370063658,7228.7482631478415,6788.563980136882,1093.3325724306633,1595.9517150482698,453.23716987292187,2.134143902295979,0.9007255562610087,0.8649900983934322,0.9442535006362185,0.7991709637183783,0.613287834829576,0.19781803283718935,0.7786974618166022,0.21085263303096588,0.7579296002328865,0.06131217431601559,0.9022594305499894
