day;timestamp;product;fair_value;position;cash;mtm_pnl
-1;0;HYDROGEL_PACK;9979.317159933371;0;0.0;0.0
-1;0;VELVETFRUIT_EXTRACT;5262.383236752377;0;0.0;0.0
-1;0;VEV_4000;1262.383239074035;0;0.0;0.0
-1;0;VEV_4500;762.3832493382054;0;0.0;0.0
-1;0;VEV_5000;265.58852408622;0;0.0;0.0
-1;0;VEV_5100;174.79315318431225;0;0.0;0.0
-1;0;VEV_5200;101.28348299929569;0;0.0;0.0
-1;0;VEV_5300;50.061115940769874;0;0.0;0.0
-1;0;VEV_5400;16.005339767601157;0;0.0;0.0
-1;0;VEV_5500;6.3870003774717405;0;0.0;0.0
-1;0;VEV_6000;0.0007732421874094269;0;0.0;0.0
-1;0;VEV_6500;0.0;0;0.0;0.0
-1;100;HYDROGEL_PACK;9978.41479273435;3;-29913.0;22.244378203045926
-1;100;VELVETFRUIT_EXTRACT;5260.173747103327;0;0.0;0.0
-1;100;VEV_4000;1261.884583930888;0;0.0;0.0
-1;100;VEV_4500;761.927550377473;0;0.0;0.0
-1;100;VEV_5000;263.8269910691323;0;0.0;0.0
-1;100;VEV_5100;176.3581276489594;0;0.0;0.0
-1;100;VEV_5200;101.28472285219583;0;0.0;0.0
-1;100;VEV_5300;49.52074191561567;0;0.0;0.0
-1;100;VEV_5400;15.839316381375937;0;0.0;0.0
-1;100;VEV_5500;6.3561715108475205;0;0.0;0.0
-1;100;VEV_6000;0.000764830319371037;0;0.0;0.0
-1;100;VEV_6500;0.0;0;0.0;0.0
-1;200;HYDROGEL_PACK;9976.138524296397;3;-29913.0;15.415572889192845
-1;200;VELVETFRUIT_EXTRACT;5259.97631238037;0;0.0;0.0
-1;200;VEV_4000;1262.0261797003539;2;-2504.0;20.0523594007077
-1;200;VEV_4500;761.693773185225;0;0.0;0.0
-1;200;VEV_5000;264.66270829849634;0;0.0;0.0
-1;200;VEV_5100;176.2981950892642;0;0.0;0.0
-1;200;VEV_5200;101.15152555827335;0;0.0;0.0
-1;200;VEV_5300;49.58477204836159;0;0.0;0.0
-1;200;VEV_5400;15.902177514862652;0;0.0;0.0
-1;200;VEV_5500;6.432475702161423;0;0.0;0.0
-1;200;VEV_6000;0.0007705153482529788;0;0.0;0.0
-1;200;VEV_6500;0.0;0;0.0;0.0
-1;300;HYDROGEL_PACK;9974.944605113042;3;-29913.0;11.833815339123248
-1;300;VELVETFRUIT_EXTRACT;5261.535820979136;0;0.0;0.0
-1;300;VEV_4000;1260.6848565970524;2;-2504.0;17.36971319410486
-1;300;VEV_4500;760.6578333071196;0;0.0;0.0
-1;300;VEV_5000;263.15663117270765;0;0.0;0.0
-1;300;VEV_5100;177.75621382849985;0;0.0;0.0
-1;300;VEV_5200;100.19865771991293;0;0.0;0.0
-1;300;VEV_5300;49.50242865377512;0;0.0;0.0
-1;300;VEV_5400;16.034740937695354;0;0.0;0.0
-1;300;VEV_5500;6.50780328114011;0;0.0;0.0
-1;300;VEV_6000;0.0007702306081678188;0;0.0;0.0
-1;300;VEV_6500;0.0;0;0.0;0.0
-1;400;HYDROGEL_PACK;9971.913916056805;8;-79738.0;37.3113284544379
