session_id,day,total_pnl,HYDROGEL_PACK_pnl,VELVETFRUIT_EXTRACT_pnl,VEV_4000_pnl,VEV_4500_pnl,VEV_5000_pnl,VEV_5100_pnl,total_slope_per_step,total_r2,HYDROGEL_PACK_slope_per_step,HYDROGEL_PACK_r2,VELVETFRUIT_EXTRACT_slope_per_step,VELVETFRUIT_EXTRACT_r2,VEV_4000_slope_per_step,VEV_4000_r2,VEV_4500_slope_per_step,VEV_4500_r2,VEV_5000_slope_per_step,VEV_5000_r2,VEV_5100_slope_per_step,VEV_5100_r2
0,-2,-12016.402840548868,-16243.634771646699,713.4244964028985,2401.990717856632,1236.5201894245893,-143.10042280922926,18.396950222940177,0.11627751173888912,0.010340572074721032,-0.4924752537368791,0.18978498846532943,0.14078265687802777,0.2953067196287496,0.3651471564755011,0.6628377176283979,0.125895658929633,0.9334791955758043,-0.02376525891076567,0.2903093466696634,0.0006925521033557718,0.0013834675996463725
1,-1,19079.867744569478,6464.674065021478,9893.881052538462,1287.3832609567835,889.9818332249952,268.34878302569723,275.5987498020636,1.6049175960450939,0.8725146500029961,0.5818736564621978,0.5015604324919896,0.7418185036153913,0.8306147501534237,0.1274957802181858,0.7595649905022062,0.0890435579002068,0.9322470283266041,0.011860017090089445,0.0879580693996324,0.052826080759019525,0.8373911891153856
2,-2,-1561.3520531066029,-2890.794372546021,550.7788890528027,-846.793248113172,1414.1051542884757,212.92893418320455,-1.5774099718928483,-0.5286901419219123,0.16960094110834953,-0.18600938017840407,0.054551246942308736,-0.3497245689616099,0.29597027835918216,-0.1990400746472158,0.358339997946344,0.1392646228984657,0.9769276068669809,0.04774200239103644,0.6404664664583981,0.019077256575815715,0.07198747502141215
3,-1,10098.224457877268,13308.379428474465,-4089.7442288533784,123.86324486999547,964.1196941999607,-488.65507339362466,280.2613925798481,0.9922769920555718,0.3355866297461919,1.5291519436832186,0.4571485908763893,-0.6498040183332049,0.5462433334258242,0.04555095041901033,0.4341701105569094,0.10295916903917837,0.985272276663787,-0.06700809376185804,0.3389790009611157,0.031427041009217324,0.7953135793717175
4,-2,7015.406806731211,-1128.3717091287544,6982.987340360181,1512.9155517936488,-563.4474097408947,209.29570315195184,2.027330295077718,-0.2767898368367694,0.024324045122039107,-0.664007928637966,0.16992560230027412,0.171617999270688,0.1274693652392859,0.22633409126040485,0.9510928539940641,-0.009028369812072487,0.02000337842709517,0.017089434654363134,0.459819416099009,-0.018795063572191562,0.0693196922886442
5,-1,19081.398107965993,19528.634424269898,-3848.4574184224766,775.0239058095522,1548.5804985743362,510,567.6166977346809,1.4204311317309637,0.7303705919027702,1.884740743404642,0.9086056960921953,-0.8281423662111791,0.49369356595559766,0.10249662413399593,0.4959238701754993,0.14640376621724957,0.5514792346110061,0.055888967275219165,0.9450624036151656,0.059043396911047985,0.7847753613230728
6,-2,23778.108369038822,5186.328859768408,14323.288526577118,1655.596413918008,1192.688359306383,467.44774974816755,952.7584597207377,2.522655807962365,0.8269865889607592,0.2986242194479406,0.08141968154628934,1.7373366390991907,0.9295976248257249,0.18123041935305548,0.9772112690094111,0.11471069650981916,0.8089198111447785,0.06813763292645335,0.8986863335947612,0.12261620062594085,0.9038917589902214
7,-1,-3002.7220336729733,-16176.873846000992,10634.746617034078,3042.432771107655,150.10059923915287,233.83499226094273,-886.9631673138097,-0.8431137385132519,0.2410647077591348,-2.1504131102826074,0.6949537745666318,1.0104809186273986,0.8465169623442721,0.3418701520286806,0.9528278959307562,0.005889356643522735,0.0015386961755763774,0.050187539702837396,0.4284411134931949,-0.10112859523307113,0.8438017712666872
8,-2,-7524.971087560699,-7347.258865728101,-4292.694080434972,1610.5320764026892,1404.6861820225258,671.7448950772223,428.01870509993773,-2.4903167045608696,0.3738088940745762,-1.99798521524153,0.4438710304452323,-0.8484671936306405,0.40786136257451444,0.1421378060126632,0.9282037470988375,0.11642610366778088,0.9101263644197157,0.07631371926986782,0.533321677902559,0.021258075361023247,0.30993579097104274
9,-1,18852.34643485798,17619.75521055647,-1078.6087806473952,752.0402426368073,424.93285654083957,915.2269057712595,219,1.797087341394493,0.8309008548486333,1.4992646989528373,0.7388037916441582,0.03963033308537738,0.002665962484524143,0.09945867953643801,0.9095789700827137,0.0009573881495125127,0.0001475546935464504,0.11604562913313785,0.7889533336422477,0.041730612537178476,0.5470448985796939
10,-2,-16523.89228924355,-21381.49071828765,3537.81650962228,2811.549430141333,-179.9063722308838,200.83865929382955,-1512.6997977824608,-2.3802102544774684,0.8131067169817275,-2.7053771727722733,0.8349957418297983,0.11349746467073364,0.18720042371186507,0.3438795333378647,0.8951507054427108,-0.05360757925702551,0.3302283931148327,0.022869700616102207,0.49176402960958676,-0.10147220107283712,0.47292284894913567
11,-1,-1835.5403886131107,-6483.185682459967,2619.505224960114,1450.4717869971637,967.5951769903686,-588.6729447883827,198.74604968759286,0.9876869169228565,0.3236596155245912,0.6195686633538144,0.19101432557917147,0.0890247332482405,0.0713687721661155,0.15321480054508907,0.9576664390611164,0.0939179507857243,0.8401245273250159,0.0025695653902972288,0.0005504980898167036,0.02939120359969098,0.4575294746749133
12,-2,11862.530337052418,-4023.602415500791,14033.664589188178,1224.8675789889403,339.0180719235286,608.1907731304409,-319.6082606778782,1.079425116861223,0.7184449745260448,-0.4974929093435256,0.18092204993434885,1.4919806438156125,0.8095261285263232,0.05118628057000784,0.32000686855594923,0.01652641355558571,0.06851275132110765,0.046174790208740865,0.8861572634441187,-0.028950101945208025,0.3008104215075821
13,-1,-34638.17843594503,-38497.22267042869,2138.505566784501,1188.2562590875223,653.8159903406431,1.1947959461049322,-122.72837767511533,-4.45002439211299,0.945607013877405,-5.05930332762227,0.9460901045712974,0.40171270501749134,0.5725224869323714,0.10838180735199555,0.807335051548301,0.08787233766860578,0.48542703093305817,-0.001559268936295202,0.001961449956321467,0.01287135440752992,0.4399783787394345
