day;timestamp;product;bid_price_1;bid_volume_1;bid_price_2;bid_volume_2;bid_price_3;bid_volume_3;ask_price_1;ask_volume_1;ask_price_2;ask_volume_2;ask_price_3;ask_volume_3;mid_price;profit_and_loss
-2;0;HYDROGEL_PACK;9971;15;9969;22;;;9987;15;9990;22;;;9979.0;0.0
-2;0;VELVETFRUIT_EXTRACT;5259;62;;;;;5264;20;5265;59;;;5261.5;0.0
-2;0;VEV_4000;1252;11;1249;15;;;1273;11;1276;15;;;1262.5;0.0
-2;0;VEV_4500;754;12;752;17;;;770;12;772;17;;;762.0;0.0
-2;0;VEV_5000;262;26;;;;;269;12;270;26;;;265.5;0.0
-2;0;VEV_5100;173;8;172;20;;;177;9;178;26;;;175.0;0.0
-2;0;VEV_5200;100;7;99;29;;;102;9;103;31;;;101.0;0.0
-2;0;VEV_5300;49;21;48;14;;;51;24;;;;;50.0;0.0
-2;0;VEV_5400;15;20;;;;;17;17;;;;;16.0;0.0
-2;0;VEV_5500;6;12;;;;;7;16;;;;;6.5;0.0
-2;0;VEV_6000;0;24;;;;;1;24;;;;;0.5;0.0
-2;0;VEV_6500;0;19;;;;;1;19;;;;;0.5;0.0
-2;100;HYDROGEL_PACK;9973;14;9971;20;;;9989;14;9992;20;;;9981.0;0.0
-2;100;VELVETFRUIT_EXTRACT;5261;36;5261;46;;;5267;60;;;;;5264.0;0.0
-2;100;VEV_4000;1252;12;1249;18;;;1273;12;1276;18;;;1262.5;0.0
-2;100;VEV_4500;752;7;750;18;;;769;6;770;18;;;760.5;0.0
-2;100;VEV_5000;263;11;262;21;;;269;12;270;30;;;266.0;0.0
-2;100;VEV_5100;173;29;;;;;177;31;178;22;;;175.0;0.0
-2;100;VEV_5200;100;28;99;27;;;102;12;103;15;;;101.0;0.0
-2;100;VEV_5300;49;10;;;;;51;23;;;;;50.0;0.0
-2;100;VEV_5400;15;23;;;;;17;30;;;;;16.0;0.0
-2;100;VEV_5500;6;19;;;;;7;20;;;;;6.5;0.0
-2;100;VEV_6000;0;18;;;;;1;18;;;;;0.5;0.0
-2;100;VEV_6500;0;21;;;;;1;21;;;;;0.5;0.0
-2;200;HYDROGEL_PACK;9974;11;9971;21;;;9990;11;9992;21;;;9982.0;0.0
-2;200;VELVETFRUIT_EXTRACT;5262;19;5261;67;;;5266;19;5267;61;;;5264.0;0.0
-2;200;VEV_4000;1252;10;1249;18;;;1273;10;1275;18;;;1262.5;0.0
-2;200;VEV_4500;753;7;751;19;;;769;7;771;19;;;761.0;0.0
-2;200;VEV_5000;263;8;262;21;;;269;7;270;28;;;266.0;0.0
-2;200;VEV_5100;173;29;172;21;;;178;15;;;;;175.5;0.0
-2;200;VEV_5200;;;;;;;103;24;;;;;103.0;0.0
-2;200;VEV_5300;49;9;;;;;51;10;;;;;50.0;0.0
-2;200;VEV_5400;16;20;16;20;;;18;21;;;;;17.0;0.0
-2;200;VEV_5500;6;23;;;;;7;17;;;;;6.5;0.0
-2;200;VEV_6000;0;26;;;;;1;26;;;;;0.5;0.0
-2;200;VEV_6500;0;14;;;;;1;14;;;;;0.5;0.0
-2;300;HYDROGEL_PACK;9974;14;9971;20;;;9990;14;9992;20;;;9982.0;0.0
-2;300;VELVETFRUIT_EXTRACT;5261;35;5261;63;;;5266;22;5267;31;;;5263.5;0.0
-2;300;VEV_4000;1251;11;1249;18;;;1272;11;1275;18;;;1261.5;0.0
-2;300;VEV_4500;754;8;;;;;770;8;772;20;;;762.0;0.0
-2;300;VEV_5000;262;10;261;12;;;268;12;269;12;;;265.0;0.0
-2;300;VEV_5100;172;11;171;17;;;176;10;;;;;174.0;0.0
-2;300;VEV_5200;99;24;;;;;103;31;;;;;101.0;0.0
-2;300;VEV_5300;49;24;;;;;;;;;;;49.0;0.0
-2;300;VEV_5400;15;23;;;;;17;24;;;;;16.0;0.0
-2;300;VEV_5500;6;27;;;;;7;7;;;;;6.5;0.0
-2;300;VEV_6000;0;20;;;;;1;20;;;;;0.5;0.0
-2;300;VEV_6500;0;13;;;;;1;13;;;;;0.5;0.0
-2;400;HYDROGEL_PACK;9972;14;9970;30;;;9988;14;9991;30;;;9980.0;0.0
