timestamp;buyer;seller;symbol;currency;price;quantity
200;BOT_TAKER;BOT_MAKER;VELVETFRUIT_EXTRACT;XIRECS;5266.0;7
300;BOT_TAKER;BOT_MAKER;HYDROGEL_PACK;XIRECS;9992.0;4
300;BOT_TAKER;BOT_MAKER;VEV_6500;XIRECS;1.0;5
400;BOT_MAKER;BOT_TAKER;VELVETFRUIT_EXTRACT;XIRECS;5260.0;7
400;BOT_TAKER;BOT_MAKER;VELVETFRUIT_EXTRACT;XIRECS;5265.0;7
400;BOT_TAKER;BOT_MAKER;VEV_6000;XIRECS;1.0;3
500;BOT_MAKER;BOT_TAKER;HYDROGEL_PACK;XIRECS;9974.0;3
500;BOT_TAKER;BOT_MAKER;VELVETFRUIT_EXTRACT;XIRECS;5266.0;7
600;BOT_MAKER;BOT_TAKER;HYDROGEL_PACK;XIRECS;9973.0;6
700;BOT_MAKER;BOT_TAKER;VELVETFRUIT_EXTRACT;XIRECS;5261.0;10
800;BOT_MAKER;BOT_TAKER;VELVETFRUIT_EXTRACT;XIRECS;5261.0;6
800;SUBMISSION;BOT_TAKER;VEV_4000;XIRECS;1258.0;1
1000;BOT_MAKER;BOT_TAKER;VELVETFRUIT_EXTRACT;XIRECS;5262.0;3
1000;BOT_TAKER;BOT_MAKER;VEV_4000;XIRECS;1281.0;2
1100;BOT_TAKER;BOT_MAKER;VELVETFRUIT_EXTRACT;XIRECS;5267.0;8
1200;BOT_TAKER;BOT_MAKER;VELVETFRUIT_EXTRACT;XIRECS;5267.0;3
1300;SUBMISSION;BOT_TAKER;HYDROGEL_PACK;XIRECS;9978.0;3
1300;SUBMISSION;BOT_TAKER;VELVETFRUIT_EXTRACT;XIRECS;5264.0;5
1300;BOT_MAKER;BOT_TAKER;VELVETFRUIT_EXTRACT;XIRECS;5263.0;3
1600;BOT_MAKER;BOT_TAKER;VELVETFRUIT_EXTRACT;XIRECS;5262.0;6
1700;BOT_TAKER;BOT_MAKER;HYDROGEL_PACK;XIRECS;9995.0;6
1700;BOT_TAKER;SUBMISSION;VELVETFRUIT_EXTRACT;XIRECS;5268.0;5
1700;BOT_TAKER;BOT_MAKER;VELVETFRUIT_EXTRACT;XIRECS;5269.0;2
1800;BOT_TAKER;BOT_MAKER;VEV_4000;XIRECS;1279.0;3
1800;BOT_MAKER;BOT_TAKER;VEV_6500;XIRECS;0.0;3
1900;BOT_MAKER;BOT_TAKER;HYDROGEL_PACK;XIRECS;9984.0;3
2000;BOT_MAKER;BOT_TAKER;HYDROGEL_PACK;XIRECS;9985.0;2
2000;BOT_TAKER;BOT_MAKER;VELVETFRUIT_EXTRACT;XIRECS;5269.0;5
2200;BOT_TAKER;BOT_MAKER;VELVETFRUIT_EXTRACT;XIRECS;5269.0;6
2300;BOT_TAKER;BOT_MAKER;HYDROGEL_PACK;XIRECS;10001.0;5
2300;BOT_MAKER;BOT_TAKER;VEV_5500;XIRECS;6.0;4
2400;BOT_TAKER;BOT_MAKER;VELVETFRUIT_EXTRACT;XIRECS;5269.0;8
2400;SUBMISSION;BOT_TAKER;VEV_4000;XIRECS;1256.0;1
2500;BOT_TAKER;BOT_MAKER;HYDROGEL_PACK;XIRECS;10005.0;3
2600;BOT_TAKER;BOT_MAKER;VELVETFRUIT_EXTRACT;XIRECS;5269.0;9
2600;BOT_MAKER;BOT_TAKER;VEV_6000;XIRECS;0.0;4
2600;SUBMISSION;BOT_TAKER;HYDROGEL_PACK;XIRECS;9989.0;5
2700;BOT_TAKER;BOT_MAKER;HYDROGEL_PACK;XIRECS;10003.0;5
2700;BOT_TAKER;BOT_MAKER;VELVETFRUIT_EXTRACT;XIRECS;5270.0;5
2800;BOT_TAKER;BOT_MAKER;VELVETFRUIT_EXTRACT;XIRECS;5268.0;6
2800;BOT_MAKER;BOT_TAKER;VEV_5400;XIRECS;13.0;2
3100;BOT_TAKER;BOT_MAKER;HYDROGEL_PACK;XIRECS;10004.0;4
3100;BOT_MAKER;BOT_TAKER;VELVETFRUIT_EXTRACT;XIRECS;5261.0;5
3100;SUBMISSION;BOT_TAKER;VEV_5300;XIRECS;52.0;4
3200;BOT_TAKER;BOT_MAKER;HYDROGEL_PACK;XIRECS;10000.0;3
3200;BOT_TAKER;BOT_MAKER;VELVETFRUIT_EXTRACT;XIRECS;5266.0;7
3300;BOT_MAKER;BOT_TAKER;VELVETFRUIT_EXTRACT;XIRECS;5259.0;7
3500;BOT_MAKER;BOT_TAKER;HYDROGEL_PACK;XIRECS;9988.0;5
3500;BOT_TAKER;BOT_MAKER;VELVETFRUIT_EXTRACT;XIRECS;5264.0;8
3500;BOT_TAKER;BOT_MAKER;VEV_5300;XIRECS;52.0;2
3500;BOT_TAKER;BOT_MAKER;VEV_6000;XIRECS;1.0;3
3500;SUBMISSION;BOT_TAKER;HYDROGEL_PACK;XIRECS;9989.0;3
3600;BOT_TAKER;BOT_MAKER;HYDROGEL_PACK;XIRECS;10002.0;2
3700;BOT_MAKER;BOT_TAKER;VEV_5300;XIRECS;50.0;4
3800;BOT_TAKER;BOT_MAKER;HYDROGEL_PACK;XIRECS;10008.0;6
3800;BOT_MAKER;BOT_TAKER;VELVETFRUIT_EXTRACT;XIRECS;5258.0;8
3800;BOT_TAKER;BOT_MAKER;VEV_4000;XIRECS;1279.0;2
3900;BOT_TAKER;BOT_MAKER;HYDROGEL_PACK;XIRECS;10004.0;2
3900;BOT_TAKER;BOT_MAKER;VEV_4000;XIRECS;1280.0;3
3900;BOT_MAKER;BOT_TAKER;VEV_5400;XIRECS;14.0;2
3900;BOT_MAKER;BOT_TAKER;VEV_5500;XIRECS;6.0;5
4000;BOT_TAKER;SUBMISSION;HYDROGEL_PACK;XIRECS;10006.0;4
4000;BOT_TAKER;SUBMISSION;VEV_4000;XIRECS;1280.0;1
4100;BOT_MAKER;BOT_TAKER;HYDROGEL_PACK;XIRECS;9992.0;5
4100;BOT_TAKER;BOT_MAKER;VEV_4000;XIRECS;1280.0;1
4100;BOT_TAKER;SUBMISSION;HYDROGEL_PACK;XIRECS;10007.0;5
4300;BOT_MAKER;BOT_TAKER;HYDROGEL_PACK;XIRECS;9992.0;5
4400;BOT_TAKER;BOT_MAKER;VELVETFRUIT_EXTRACT;XIRECS;5264.0;6
4400;BOT_MAKER;BOT_TAKER;VEV_4000;XIRECS;1256.0;2
4500;BOT_TAKER;SUBMISSION;VELVETFRUIT_EXTRACT;XIRECS;5265.0;3
4600;BOT_MAKER;BOT_TAKER;HYDROGEL_PACK;XIRECS;9992.0;4
4600;BOT_TAKER;BOT_MAKER;VELVETFRUIT_EXTRACT;XIRECS;5264.0;9
4600;BOT_TAKER;BOT_MAKER;VEV_5500;XIRECS;7.0;4
4700;BOT_TAKER;BOT_MAKER;HYDROGEL_PACK;XIRECS;10008.0;3
4700;BOT_TAKER;BOT_MAKER;VEV_4000;XIRECS;1276.0;2
4700;BOT_MAKER;BOT_TAKER;VEV_5500;XIRECS;6.0;2
4800;BOT_TAKER;BOT_MAKER;HYDROGEL_PACK;XIRECS;10010.0;5
4800;BOT_MAKER;BOT_TAKER;VELVETFRUIT_EXTRACT;XIRECS;5260.0;5
4800;BOT_TAKER;SUBMISSION;VEV_5400;XIRECS;15.0;3
4900;SUBMISSION;BOT_TAKER;HYDROGEL_PACK;XIRECS;9994.0;5
4900;BOT_MAKER;BOT_TAKER;HYDROGEL_PACK;XIRECS;9993.0;1
4900;SUBMISSION;BOT_TAKER;VELVETFRUIT_EXTRACT;XIRECS;5260.0;5
5200;BOT_TAKER;BOT_MAKER;HYDROGEL_PACK;XIRECS;10011.0;3
5200;BOT_TAKER;BOT_MAKER;VELVETFRUIT_EXTRACT;XIRECS;5265.0;8
5200;BOT_MAKER;BOT_TAKER;VEV_5400;XIRECS;13.0;2
5300;BOT_MAKER;BOT_TAKER;HYDROGEL_PACK;XIRECS;9996.0;4
5600;BOT_TAKER;BOT_MAKER;VEV_4000;XIRECS;1277.0;1
5700;BOT_TAKER;BOT_MAKER;VELVETFRUIT_EXTRACT;XIRECS;5266.0;4
5700;BOT_MAKER;BOT_TAKER;VELVETFRUIT_EXTRACT;XIRECS;5261.0;5
5700;BOT_MAKER;BOT_TAKER;VEV_6000;XIRECS;0.0;5
5800;BOT_TAKER;BOT_MAKER;HYDROGEL_PACK;XIRECS;10015.0;3
6000;BOT_MAKER;BOT_TAKER;VEV_4000;XIRECS;1259.0;2
6100;BOT_MAKER;BOT_TAKER;HYDROGEL_PACK;XIRECS;9999.0;5
6100;BOT_TAKER;SUBMISSION;HYDROGEL_PACK;XIRECS;10014.0;5
6100;BOT_TAKER;BOT_MAKER;HYDROGEL_PACK;XIRECS;10015.0;1
6200;BOT_TAKER;BOT_MAKER;HYDROGEL_PACK;XIRECS;10014.0;2
6200;BOT_TAKER;BOT_MAKER;VELVETFRUIT_EXTRACT;XIRECS;5263.0;5
6200;BOT_MAKER;BOT_TAKER;VEV_4000;XIRECS;1255.0;1
6300;BOT_TAKER;BOT_MAKER;HYDROGEL_PACK;XIRECS;10015.0;5
6300;BOT_TAKER;BOT_MAKER;VELVETFRUIT_EXTRACT;XIRECS;5264.0;3
6300;SUBMISSION;BOT_TAKER;VELVETFRUIT_EXTRACT;XIRECS;5259.0;5
6500;BOT_MAKER;BOT_TAKER;VEV_6500;XIRECS;0.0;2
6500;SUBMISSION;BOT_TAKER;VEV_4000;XIRECS;1256.0;3
6600;BOT_TAKER;BOT_MAKER;VELVETFRUIT_EXTRACT;XIRECS;5266.0;7
6700;BOT_MAKER;BOT_TAKER;VELVETFRUIT_EXTRACT;XIRECS;5260.0;5
6700;BOT_TAKER;BOT_MAKER;VEV_6500;XIRECS;1.0;2
6800;BOT_TAKER;SUBMISSION;VELVETFRUIT_EXTRACT;XIRECS;5265.0;4
6900;BOT_TAKER;BOT_MAKER;VEV_5400;XIRECS;15.0;2
6900;BOT_TAKER;BOT_MAKER;VEV_6000;XIRECS;1.0;2
6900;BOT_TAKER;SUBMISSION;VEV_4000;XIRECS;1275.0;3
7000;BOT_TAKER;BOT_MAKER;HYDROGEL_PACK;XIRECS;10011.0;2
7000;BOT_MAKER;BOT_TAKER;VELVETFRUIT_EXTRACT;XIRECS;5258.0;6
7000;SUBMISSION;BOT_TAKER;VELVETFRUIT_EXTRACT;XIRECS;5259.0;5
7000;BOT_MAKER;BOT_TAKER;VELVETFRUIT_EXTRACT;XIRECS;5258.0;1
7100;BOT_TAKER;BOT_MAKER;VELVETFRUIT_EXTRACT;XIRECS;5262.0;8
7200;BOT_MAKER;BOT_TAKER;VELVETFRUIT_EXTRACT;XIRECS;5260.0;4
7200;BOT_TAKER;BOT_MAKER;VEV_5400;XIRECS;15.0;4
7300;BOT_TAKER;BOT_MAKER;VEV_4000;XIRECS;1276.0;1
7400;BOT_MAKER;BOT_TAKER;HYDROGEL_PACK;XIRECS;9998.0;6
7400;BOT_TAKER;BOT_MAKER;VEV_5500;XIRECS;6.0;3
7400;SUBMISSION;BOT_TAKER;VELVETFRUIT_EXTRACT;XIRECS;5261.0;5
7400;BOT_MAKER;BOT_TAKER;VELVETFRUIT_EXTRACT;XIRECS;5260.0;1
7500;BOT_TAKER;BOT_MAKER;HYDROGEL_PACK;XIRECS;10014.0;2
7500;BOT_TAKER;BOT_MAKER;VELVETFRUIT_EXTRACT;XIRECS;5265.0;5
7500;BOT_MAKER;BOT_TAKER;VEV_6500;XIRECS;0.0;2
7600;BOT_MAKER;BOT_TAKER;VELVETFRUIT_EXTRACT;XIRECS;5259.0;4
7700;BOT_TAKER;BOT_MAKER;VELVETFRUIT_EXTRACT;XIRECS;5264.0;7
7800;BOT_TAKER;BOT_MAKER;VEV_5300;XIRECS;52.0;3
8100;BOT_TAKER;BOT_MAKER;HYDROGEL_PACK;XIRECS;10010.0;3
8200;BOT_TAKER;BOT_MAKER;VELVETFRUIT_EXTRACT;XIRECS;5257.0;8
8200;BOT_MAKER;BOT_TAKER;VEV_4000;XIRECS;1256.0;3
8300;BOT_TAKER;BOT_MAKER;VELVETFRUIT_EXTRACT;XIRECS;5259.0;6
8300;BOT_TAKER;BOT_MAKER;VEV_5300;XIRECS;52.0;4
8400;SUBMISSION;BOT_TAKER;VELVETFRUIT_EXTRACT;XIRECS;5253.0;5
8400;BOT_MAKER;BOT_TAKER;VELVETFRUIT_EXTRACT;XIRECS;5252.0;5
8500;BOT_MAKER;BOT_TAKER;HYDROGEL_PACK;XIRECS;10002.0;3
8500;BOT_MAKER;BOT_TAKER;VELVETFRUIT_EXTRACT;XIRECS;5251.0;6
8500;BOT_MAKER;BOT_TAKER;VEV_6500;XIRECS;0.0;4
8600;BOT_MAKER;BOT_TAKER;VEV_6500;XIRECS;0.0;5
8600;BOT_TAKER;SUBMISSION;HYDROGEL_PACK;XIRECS;10017.0;3
8700;BOT_TAKER;BOT_MAKER;VELVETFRUIT_EXTRACT;XIRECS;5255.0;8
8700;BOT_TAKER;BOT_MAKER;VEV_5500;XIRECS;6.0;2
8700;BOT_MAKER;BOT_TAKER;VEV_5500;XIRECS;5.0;3
8800;BOT_MAKER;BOT_TAKER;HYDROGEL_PACK;XIRECS;9998.0;6
8800;BOT_TAKER;BOT_MAKER;VEV_5500;XIRECS;6.0;3
8900;BOT_TAKER;BOT_MAKER;VELVETFRUIT_EXTRACT;XIRECS;5253.0;5
8900;BOT_MAKER;BOT_TAKER;VEV_4000;XIRECS;1257.0;3
9000;BOT_TAKER;BOT_MAKER;VELVETFRUIT_EXTRACT;XIRECS;5254.0;7
9100;BOT_MAKER;BOT_TAKER;HYDROGEL_PACK;XIRECS;10000.0;3
9100;BOT_TAKER;BOT_MAKER;HYDROGEL_PACK;XIRECS;10016.0;3
9300;BOT_MAKER;BOT_TAKER;HYDROGEL_PACK;XIRECS;9997.0;5
9300;BOT_TAKER;BOT_MAKER;VELVETFRUIT_EXTRACT;XIRECS;5255.0;7
